group,category,publisher,year,type,is_llm_related,title,link,authors,code,zh_abstract
Tutoring Strategy,Tutoring System,arXiv,2026,preprint,1,PATS: Personality-Aware Teaching Strategies with Large Language Model Tutors,https://arxiv.org/abs/2601.08402,"Donya Rooein, Sankalan Pal Chowdhury, Mariia Eremeeva, Yuan Qin, Debora Nozza, Mrinmaya Sachan, Dirk Hovy",,"PATS将学习者人格特征与教学策略进行匹配，提升LLM导师在互动中的个性化适配。人工教师评估显示该方法在策略合理性上优于基线。"
Learning Experience,Student Simulation & Profiling,arXiv,2026,preprint,1,Simulated Students in Tutoring Dialogues: Substance or Illusion?,https://arxiv.org/abs/2601.04025,"Alexander Scarlatos, Jaewook Lee, Simon Woodhead, Andrew Lan",,"该文系统评估了学生模拟质量，发现简单提示法效果有限。监督微调与偏好优化可改进模拟，但与真实学习者行为仍有差距。"
Tutoring Strategy,Tutoring System,arXiv,2026,preprint,1,Rewarding How Models Think Pedagogically: Integrating Pedagogical Reasoning and Thinking Rewards for LLMs in Education,https://arxiv.org/abs/2601.14560,"Unggi Lee, Jiyeong Bae, Jaehyeon Park, Haeun Park, Taejun Park, Younghoon Jeon, Sungmin Cho, Junbo Koh, Yeil Jeong, Gyeonggeon Lee",,"工作提出在教育对话中对“思维链的教学质量”进行奖励，推动模型从“会答题”转向“会教学”。实验显示该策略在跨任务教育评测上具有迁移收益。"
Material Preparation,Question Generation,arXiv,2026,preprint,1,LLM Prompt Evaluation for Educational Applications,https://arxiv.org/abs/2601.16134,"Langdon Holmes, Adam Coscia, Scott Crossley, Joon Suh Choi, Wesley Morris",,"研究给出了教育提示词的系统化评估流程，并用锦标赛式比较不同模板。结果显示融合角色设定与上下文管理的模板在教学追问质量上优势明显。"
Learning Experience,Student Simulation & Profiling,arXiv,2026,preprint,1,Towards Valid Student Simulation with Large Language Models,https://arxiv.org/abs/2601.05473,"Zhihao Yuan, Yunze Xiao, Ming Li, Weihao Xuan, Richard Tong, Mona Diab, Tom Mitchell",,"论文提出“能力悖论”并引入显式认知状态规范，强调学生模拟必须优先保证认识论一致性。该框架为后续可验证模拟与伦理治理提供方法基础。"
Dataset & Benchmark,Dataset,arXiv,2026,preprint,1,FoundationalASSIST: An Educational Dataset for Foundational Knowledge Tracing and Pedagogical Grounding of LLMs,https://arxiv.org/abs/2602.00070,"Eamon Worden, Cristina Heffernan, Neil Heffernan, Shashank Sonkar",,"FoundationalASSIST补齐了传统KT数据缺乏文本与错误选项语义的问题，支持LLM教育研究。基准实验表明现有前沿模型在诊断性能力理解上仍明显不足。"
Learning Experience,Student Simulation & Profiling,arXiv,2026,preprint,1,KASER: Knowledge-Aligned Student Error Simulator for Open-Ended Coding Tasks,https://arxiv.org/abs/2601.06633,"Zhangqi Duan, Nigel Fernandez, Andrew Lan",,"KASER通过知识对齐与混合奖励强化学生错误模拟，缓解开放式编程任务中的模式坍塌。结果显示其在错误覆盖度和代码多样性上优于现有方法。"
Tutoring Strategy,Learning Path Recommendation,arXiv,2026,preprint,1,Multi-Agent Learning Path Planning via LLMs,https://arxiv.org/abs/2601.17346,"Haoxin Xu, Changyong Qi, Tong Liu, Bohao Zhang, Anna He, Bingqian Jiang, Longwei Zheng, Xiaoqing Gu",,"该框架通过学习者分析、路径规划与反思代理协作生成可解释学习路径，并引入认知负荷与最近发展区约束。实验在路径质量和知识序列一致性上优于基线。"
Learning Experience,Learning Engagement,arXiv,2026,preprint,1,Investigating Self-regulated Learning Sequences within a Generative AI-based Intelligent Tutoring System,https://arxiv.org/abs/2601.17000,"Jie Gao, Shasha Li, Jianhua Zhang, Shan Li, Tingting Wang",,"研究基于交互日志分析GenAI辅导系统中的自我调节学习序列。结果发现学生多将AI用于信息获取而非信息转化，提示需加强高阶学习策略引导。"
Assessment & Feedback,Automated Grading,arXiv,2026,preprint,1,Automated Feedback Generation for Undergraduate Mathematics: Development and Evaluation of an AI Teaching Assistant,https://arxiv.org/abs/2601.03458,"Aron Gohr, Marie-Amelie Lawn, Kevin Gao, Inigo Serjeant, Stephen Heslip",,"该系统面向本科数学自由文本证明反馈，采用模块化LLM流程输出技术与表达层面的建议。评测显示其反馈质量接近人工专家水平。"
