group,category,publisher,year,type,is_llm_related,title,link,authors,code
Survey,Comprehensive Survey,BigData,2023,conference,1,Large Language Models in Education: Vision and Opportunities,https://arxiv.org/abs/2311.13160,"Wensheng Gan, Zhenlian Qi, Jiayang Wu, Jerry Chun-Wei Lin",
Survey,Comprehensive Survey,EDM-RL4ED,2021,conference,0,Reinforcement Learning for Education: Opportunities and Challenges,https://arxiv.org/abs/2107.08828,"Adish Singla, Anna N. Rafferty, Goran Radanovic, Neil T. Heffernan",
Survey,Comprehensive Survey,Journal of Machine Learning and Cybernetics,2024,journal,1,Large Language Models for Education: A Survey,https://arxiv.org/abs/2405.13001,"Hanyi Xu, Wensheng Gan, Zhenlian Qi, Jiayang Wu, Philip S. Yu",
Survey,Comprehensive Survey,arXiv,2023,preprint,0,A Comprehensive Survey on Deep Learning Techniques in Educational Data Mining,https://arxiv.org/abs/2309.04761,"Yuanguo Lin, Hong Chen, Wei Xia, Fan Lin, Zongyue Wang, Yong Liu",
Survey,Comprehensive Survey,arXiv,2024,preprint,1,Large Language Models for Education: A Survey and Outlook,https://arxiv.org/abs/2403.18105,"Shen Wang, Tianlong Xu, Hang Li, Chaoli Zhang, Joleen Liang, Jiliang Tang, Philip S. Yu, Qingsong Wen",
Survey,Comprehensive Survey,arXiv,2024,preprint,1,"Adapting Large Language Models for Education: Foundational Capabilities, Potentials, and Challenges",https://arxiv.org/abs/2401.08664,"Qingyao Li, Lingyue Fu, Weiming Zhang, Xianyu Chen, Jingwei Yu, Wei Xia, Weinan Zhang, Ruiming Tang, Yong Yu",
Survey,Task-Specific Survey,arXiv,2024,preprint,0,Survey of Computerized Adaptive Testing: A Machine Learning Perspective,https://arxiv.org/abs/2404.00712,"Qi Liu, Yan Zhuang, Haoyang Bi, Zhenya Huang, Weizhe Huang, Jiatong Li, Junhao Yu, Zirui Liu, Zirui Hu, Yuting Hong, Zachary A. Pardos, Haiping Ma, Mengxiao Zhu, Shijin Wang, Enhong Chen",
Tutoring and Personalized Learning,Tutoring System,CHI,2001,conference,0,Locus of Feedback Control in Computer-Based Tutoring,http://pact.cs.cmu.edu/corbett/Corbett&AndersonCHI2001.pdf,"Albert T. Corbett, John R. Anderson",
Tutoring and Personalized Learning,Tutoring System,CHI,2020,conference,0,An Interaction Design for Machine Teaching to Develop AI Tutors,https://dl.acm.org/doi/10.1145/3313831.3376226,"Daniel Weitekamp, Erik Harpstead, K. Koedinger",
Tutoring and Personalized Learning,Tutoring System,CHI,2021,conference,0,ArgueTutor: An Adaptive Dialog-Based Learning System for Argumentation Skills,https://dl.acm.org/doi/abs/10.1145/3411764.3445781,"Thiemo Wambsganss, C. Niklaus, Matthias Cetto, Matthias Söllner, S. Handschuh, J. Leimeister",
